Latitude,Longitude,Stop Name,Stop Status
40.687909,-73.935881,GATES AV/LEWIS AV,at stop
40.687596,-73.938607,GATES AV/MARCUS GARVEY BL,at stop
40.688535,-73.93044,GATES AV/MALCOLM X BL,at stop
40.69345,-73.99054,CADMAN PLZ W/MONTAGUE ST,at stop
40.691595,-73.987694,FULTON ST/SMITH ST,at stop
40.699147,-73.911412,PALMETTO ST/WYCKOFF AV,at stop
40.688254,-73.932902,GATES AV/STUYVESANT AV,approaching
40.686883,-73.944794,GATES AV/TOMPKINS AV,approaching
40.68575,-73.954648,GATES AV/BEDFORD AV,approaching
40.68654,-73.947786,GATES AV/MARCY AV,approaching
40.688135,-73.933881,GATES AV/STUYVESANT AV,approaching
40.688637,-73.98026,FULTON ST/ASHLAND PL,< 1 stop away
40.686814,-73.964909,GREENE AV/GRAND AV,< 1 stop away
40.695284,-73.989005,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
